Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
91,Collision Attacks,Tampering,Diagram 1,NTP to Server,High,Not Started,,"NTP to Workstation: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
92,Weak Authentication Scheme,Information Disclosure,Diagram 1,NTP to Server,High,Not Started,,"NTP to Workstation: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
93,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,NTP to Server,High,Not Started,,NTP to Workstation: Workstation may be able to impersonate the context of NTP in order to gain additional privilege.,,Generated
94,NTP Process Memory Tampered,Tampering,Diagram 1,"NTP to ""ESXi or Harvester""",High,Not Started,,"NTP to ""ESXi Or Harvester"": If NTP is given access to memory, such as shared memory or pointers, or is given the ability to control what ""ESXi Or Harvester"" executes (for example, passing back a function pointer.), then NTP can tamper with ""ESXi Or Harvester"". Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
95,Replay Attacks,Tampering,Diagram 1,"NTP to ""ESXi or Harvester""",High,Not Started,,"NTP to ""ESXi Or Harvester"": Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.",,Generated
96,Collision Attacks,Tampering,Diagram 1,"NTP to ""ESXi or Harvester""",High,Not Started,,"NTP to ""ESXi Or Harvester"": Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
97,Weak Authentication Scheme,Information Disclosure,Diagram 1,"NTP to ""ESXi or Harvester""",High,Not Started,,"NTP to ""ESXi Or Harvester"": Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
98,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,"NTP to ""ESXi or Harvester""",High,Not Started,,"NTP to ""ESXi Or Harvester"": ""ESXi Or Harvester"" may be able to impersonate the context of NTP in order to gain additional privilege.",,Generated
99,NTP Process Memory Tampered,Tampering,Diagram 1,NTP to Firewall,High,Not Started,,"NTP to Firewall: If NTP is given access to memory, such as shared memory or pointers, or is given the ability to control what Firewall executes (for example, passing back a function pointer.), then NTP can tamper with Firewall. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
100,Replay Attacks,Tampering,Diagram 1,NTP to Firewall,High,Not Started,,NTP to Firewall: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
101,Collision Attacks,Tampering,Diagram 1,NTP to Firewall,High,Not Started,,"NTP to Firewall: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
102,Weak Authentication Scheme,Information Disclosure,Diagram 1,NTP to Firewall,High,Not Started,,"NTP to Firewall: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
103,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,NTP to Firewall,High,Not Started,,NTP to Firewall: Firewall may be able to impersonate the context of NTP in order to gain additional privilege.,,Generated
104,"""ESXi Or Harvester"" Process Memory Tampered",Tampering,Diagram 1,"""ESXi or Harvester"" to BS (Backup and Restore) Solution",High,Not Started,,"""ESXi Or Harvester"" to BS(Backup and Restore) Solution: If ""ESXi Or Harvester"" is given access to memory, such as shared memory or pointers, or is given the ability to control what BS(Backup and Restore) Solution executes (for example, passing back a function pointer.), then ""ESXi Or Harvester"" can tamper with BS(Backup and Restore) Solution. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
105,Replay Attacks,Tampering,Diagram 1,"""ESXi or Harvester"" to BS (Backup and Restore) Solution",High,Not Started,,"""ESXi Or Harvester"" to BS(Backup and Restore) Solution: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.",,Generated
106,Collision Attacks,Tampering,Diagram 1,"""ESXi or Harvester"" to BS (Backup and Restore) Solution",High,Not Started,,"""ESXi Or Harvester"" to BS(Backup and Restore) Solution: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
107,Weak Authentication Scheme,Information Disclosure,Diagram 1,"""ESXi or Harvester"" to BS (Backup and Restore) Solution",High,Not Started,,"""ESXi Or Harvester"" to BS(Backup and Restore) Solution: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
108,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,"""ESXi or Harvester"" to BS (Backup and Restore) Solution",High,Not Started,,"""ESXi Or Harvester"" to BS(Backup and Restore) Solution: BS(Backup and Restore) Solution may be able to impersonate the context of ""ESXi Or Harvester"" in order to gain additional privilege.",,Generated
109,Replay Attacks,Tampering,Diagram 1,Firewall to vCenter,High,Not Started,,Firewall to Vcenter: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
110,Collision Attacks,Tampering,Diagram 1,Firewall to vCenter,High,Not Started,,"Firewall to Vcenter: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
111,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to vCenter,High,Not Started,,"Firewall to Vcenter: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
112,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to vCenter,High,Not Started,,Firewall to Vcenter: Vcenter may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
113,Replay Attacks,Tampering,Diagram 1,Firewall to Workstation,High,Not Started,,Firewall to Workstation: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
114,Collision Attacks,Tampering,Diagram 1,Firewall to Workstation,High,Not Started,,"Firewall to Workstation: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
115,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to Workstation,High,Not Started,,"Firewall to Workstation: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
116,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to Workstation,High,Not Started,,Firewall to Workstation: Workstation may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
117,Firewall Process Memory Tampered,Tampering,Diagram 1,Firewall to Server,High,Not Started,,"Firewall to Server: If Firewall is given access to memory, such as shared memory or pointers, or is given the ability to control what Server executes (for example, passing back a function pointer.), then Firewall can tamper with Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
118,Replay Attacks,Tampering,Diagram 1,Firewall to Server,High,Not Started,,Firewall to Server: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
119,Collision Attacks,Tampering,Diagram 1,Firewall to Server,High,Not Started,,"Firewall to Server: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
120,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to Server,High,Not Started,,"Firewall to Server: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
121,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to Server,High,Not Started,,Firewall to Server: Server may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
122,Firewall Process Memory Tampered,Tampering,Diagram 1,Firewall to BS (Backup and Restore) Solution,High,Not Started,,"Firewall to BS(Backup and Restore) Solution: If Firewall is given access to memory, such as shared memory or pointers, or is given the ability to control what BS(Backup and Restore) Solution executes (for example, passing back a function pointer.), then Firewall can tamper with BS(Backup and Restore) Solution. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
123,Replay Attacks,Tampering,Diagram 1,Firewall to BS (Backup and Restore) Solution,High,Not Started,,Firewall to BS(Backup and Restore) Solution: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
124,Collision Attacks,Tampering,Diagram 1,Firewall to BS (Backup and Restore) Solution,High,Not Started,,"Firewall to BS(Backup and Restore) Solution: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
125,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to BS (Backup and Restore) Solution,High,Not Started,,"Firewall to BS(Backup and Restore) Solution: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
126,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to BS (Backup and Restore) Solution,High,Not Started,,Firewall to BS(Backup and Restore) Solution: BS(Backup and Restore) Solution may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
127,Firewall Process Memory Tampered,Tampering,Diagram 1,Firewall to NTP,High,Not Started,,"Firewall to NTP: If Firewall is given access to memory, such as shared memory or pointers, or is given the ability to control what NTP executes (for example, passing back a function pointer.), then Firewall can tamper with NTP. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
128,Replay Attacks,Tampering,Diagram 1,Firewall to NTP,High,Not Started,,Firewall to NTP: Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
129,Collision Attacks,Tampering,Diagram 1,Firewall to NTP,High,Not Started,,"Firewall to NTP: Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
130,Weak Authentication Scheme,Information Disclosure,Diagram 1,Firewall to NTP,High,Not Started,,"Firewall to NTP: Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
131,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Firewall to NTP,High,Not Started,,Firewall to NTP: NTP may be able to impersonate the context of Firewall in order to gain additional privilege.,,Generated
