Threat_ShortTitle,Threat_Category,Threat_Description,SL1 Req,SL2 Req,SL3 Req,SL4 Req,PCyA allocated to ,Tool shall Compare with
CANBUS Denial of Service,D,"For {flow.Name}, other devices on the bus can prevent communications.  Use a different communication protocol if this is not acceptable.",Check Manually,Check Manually,Check Manually,Check Manually,,
Ethernet Frame Denial of Service,D,"Raw Ethernet frames have numerous options for denial of service attacks.  Usage is strongly discouraged but may be appropriate in some cases with point-to-point networks, however, even then they should be used only with extreme caution.",Check Manually,Check Manually,Check Manually,Check Manually,,
{flow.Name} Denial of Service,D,Custom protocols generally require writing a custom parser; custom parsers are particularly prone to errors that crash the server. Strongly recommend fuzzing the parsers.,Check Manually,Check Manually,Check Manually,Check Manually,,
Syslog Denial of Service,D,Traditional syslog is a UDP-based protocol that is highly subject to denial of service attacks.  Recommend only using within a trust boundary.,Check Manually,Check Manually,Check Manually,Check Manually,,
EMR Denial of Service,D,Disabling the EMR system would be a prime target for an attacker with malicious intent.  A non-functional EMR system could prevent clinicians from accessing necessary data in a timely fashion.  Consider redundant design options to minimize dependence on EMR systems.,Check Manually,Check Manually,Check Manually,Check Manually,,
Weakness in SSO Authorization,E,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,Check Manually,Check Manually,Check Manually,Check Manually,,
Elevation Using Impersonation,E,{target.Name} may be able to impersonate the context of {source.Name} in order to gain additional privilege.,CR 2.1,CR 2.1 RE (1) and CR 2.1 RE (2) and CR 1.2 and CR 1.14,CR 2.1 RE (1) and CR 2.1 RE (2) and CR 1.2 and CR 1.14,CR 2.1 RE (1) and CR 2.1 RE (2) and CR 1.2 and CR 1.14,{target.Name}  and {source.Name} ,
{target.Name} May be Subject to Elevation of Privilege Using Remote Code Execution,E,{source.Name} may be able to remotely execute code for {target.Name}.,CR 3.4 and CR 3.5 and SAR 3.2 and EDR 3.2 and HDR 3.2 and EDR 3.10 and HDR 3.10 and NDR 3.10,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,{target.Name}  and {source.Name} ,
Elevation by Changing the Execution Flow in {target.Name},E,An attacker may pass data into {target.Name} in order to change the flow of program execution within {target.Name} to the attacker's choosing.,CR 3.4 and CR 3.5 and SAR 3.2 and EDR 3.2 and HDR 3.2 and EDR 3.10 and HDR 3.10 and NDR 3.10,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,HDR 3.2 RE (1) and EDR 3.10 RE (1) and HDR 3.10 RE (1) and NDR 3.10 RE (1) and CR 6.2,{target.Name}  and {source.Name} ,
Cross Site Request Forgery,E,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting etc.  The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Check Manually,Check Manually,Check Manually,Check Manually,,
Bypassing firewalls using SSH Tunneling,E,"Authenticated but less privileged users may be able to abuse SSH tunneling mechanisms to bypass firewalls.  Unless needed, ensure the sshd_config setting for AllowTcpForwarding is set to No.",Check Manually,Check Manually,Check Manually,Check Manually,,
X Forwarding on {target.Name},E,"SSH provides an optional graphical user interface forwarding feature known as ""X forwarding"".  This could result in undesired remote display of graphical interfaces or remote-commanded initiation of display features (such as screenshots).  Recommend ensuring that X11 forwarding is disabled unless necessary.",Check Manually,Check Manually,Check Manually,Check Manually,,
Non-production modes for {target.Name},E,"{target.Name} designs may include alternative modes such as factory test mode, service mode, or warm-up mode that bypass normal access controls and safety interlocks.  Carefully review any/all such modes for the {target.Name} to ensure an attacker would not be able to exploit it.  Avoid using a shared password to restrict access any such mode.",Check Manually,Check Manually,Check Manually,Check Manually,,
Trusted Wireless Connection via {flow.Name} to {target.Name},E,"{flow.Name}: An attacker who gains access to a medical component or mimics a medical component might exploit ""trust"" of the component to gain further access to the system.  Especially for wireless components using standard protocols (WiFi, Bluetooth, etc), recommend employing host-side firewalls and fuzzing the protocol used to communicate with the component.",Check Manually,Check Manually,Check Manually,Check Manually,,
Doors unlocked by {source.Name},E,"Automatically locked doors may be unlocked as part of an emergency stop process.  If this applies, consider security aspects and make corresponding mitigations such as an audible/visible alarm.",Check Manually,Check Manually,Check Manually,Check Manually,,
EMR Role-based access,E,"EMR systems typically play a role in the prescribing of medications, including narcotics.  Ensure the system uses appropriate role-based permissions.  In particular, do not use a role that can prescribe medications when unnecessary.",Check Manually,Check Manually,Check Manually,Check Manually,,
Pharmaceutical Pump - Abuse,A,Patients desiring higher doses of controlled medications (such as morphine) may attempt to gain access to higher doses.  Carefully consider any such abuse cases in the system design.,Check Manually,Check Manually,Check Manually,Check Manually,,
Ionizing Radiation Source - Abuse,A,"Technologists in search of better image quality may configure the {target.Name} to use a higher-intensity exposure than necessary.  It is recommended to cross-reference other available data (patient weight, age, etc) to ensure the user-supplied voltage/current settings are appropriate.",Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} Used Routinely - Abuse,A,Users may elect to use the {source.Name} as an alternative on/off mechanism for the device which can result in wear and tear so the button doesn't work when needed.,Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} Used Routinely - Abuse,A,Users may elect to use the {source.Name} as an alternative on/off mechanism for the device which can result in wear and tear so the interlock doesn't work when needed.,Check Manually,Check Manually,Check Manually,Check Manually,,
{source.Name} Causes Damage - Abuse,A,"In some cases, user activation of the {source.Name} could cause damage to the equipment.  A few specific examples include loss of data due to sudden power loss and liquid helium loss in an MRI quench.  Design the emergency stop mechanism to minimize the associated risks.",Check Manually,Check Manually,Check Manually,Check Manually,,
PACS Abuse,A,Clinicians may obtain or attempt to obtain images of VIP patients from a PACS that they do not have a medically valid reason to view. Recommend logging all activities to prevent repudiation.,Check Manually,Check Manually,Check Manually,Check Manually,,
PII Crossing a Trust Boundary,963cfa0d-0d15-4186-9b4a-4c88154a687a,{flow.Name} crosses a trust boundary and contains Personally Identifiable Information.  Please review the data being transmitted for compliance with all applicable laws and regulations.,Check Manually,Check Manually,Check Manually,Check Manually,,
